ID	Text	Label	Explanation
171	"FYI.  Shelley, I also talked to Mark about the letter we would want to consider
	sending with the OBA explaining our position on Lonestar honoring our Tariff OBA.
	Thanks. Lynn

 -----Original Message-----
From: 	Hanagriff, Richard  
Sent:	Thursday, February 07, 2002 3:25 PM
To:	McConnell, Mark
Cc:	Fancler, Dan; Blair, Lynn; Dietz, Rick
Subject:	RE: lonestar oba and illustration

Mark

Attached is a summary of the Lonestar imbalance for 2001.

 

As per our earlier discussion,  I met with Dan Fancler to discuss the Lonestar oba proposal.  Dan and I would suggest that a ceiling be placed on the cummulative volume amount and that any volume over that ceiling be required to be cashed out at that month's index price.  This process would serve to limit TW's financial exposure related to the revaluation of volumetric imbalances.









 -----Original Message-----
From: 	McConnell, Mark  
Sent:	Tuesday, February 05, 2002 4:59 PM
To:	Hanagriff, Richard; Blair, Lynn
Subject:	lonestar oba and illustration



This is what I'm planning on proposing to them this week.  Comments? Objections?  Possible to implement?

Let me know,

Mark

 << File: LoneStar OBA 2-5-02.doc >>  << File: Lonestar Imbal Illustration.xls >> 



Mark McConnell
Transwestern Pipeline Company
713-345-7896   office
713-822-4862   cell
713-646-2551   fax
mark.mcconnell@enron.com"	SENSITIVE	The email contains professional roles and activities, including discussions about financial exposure and imbalance proposals, which could lead to unintended inferences or privacy risks.
172	"Below is the Enron 2002 holiday schedule.  Remember, Enron's offices will be closed in observance of Martin Luther King Day this coming Monday, January 21.  Enjoy the long weekend! 

New Year's Day	 	Tuesday, January 1 
Martin Luther King Day 	Monday, January 21
President's Day			Monday, February 18
Memorial Day			Monday, May 27
Independence Day 		Thursday, July 4
Labor Day 			Monday, September 2
Thanksgiving Day		Thursday, November 28
Thanksgiving Observance 	Friday, November 29
Christmas Observance		Tuesday, December 24
Christmas Day			Wednesday, December 25"	NOT SENSITIVE	
173	"FYI

Vince

---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 02/12/2001 
02:20 PM ---------------------------


""Julie"" <julie@lacimagroup.com> on 02/09/2001 05:31:11 AM
Please respond to ""Julie"" <julie@lacimagroup.com>
To: <Undisclosed-Recipient:@mailman.enron.com;>
cc:  
Subject: Venue Details for Energy Derivatives and Weather Derivatives Course 
and Workshops



The venue details for the courses are the following:
?
City:? Houston
Hotel:? Hyatt Regency Houston
Address:? located in the Center of Downtown Houston
1200 Louisiana
Houston, TX? 77002 USA
?
Telephone:? +1 713 654 1234
Fax:? +1 713 951 0934
?
We have?been offered a room rate of US$199 a night.? Your company  may be 
able to obtain a better quote, by contacting them  directly.??However, at 
reservations, they may not have the course name  and information logged into 
their system yet because this is being handled  directly by their catering 
manager.? If you would like us to make your  hotel reservations, we would 
need your arrival date and departure date.?  
?
The?itinerary for each day of the course is as follows:
?
9:00??? Start
10:30 ?Coffee break
12:30? Lunch
15:30? Coffee break
17:30? Approximate finish
?
Course format will consist of segments of lecture followed by computer  based 
workshops (two a day).? If you need anything further, please contact  us.
?
Sincerely,
Julie
?"	SENSITIVE	This message contains explicit sensitive information such as the hotel name, address, telephone number, and room rate, all of which can lead to privacy risks and potential misuse.
174	"-----Original Message----- 
From: Enron General Announcements 
Sent: Wed 12/19/2001 5:03 PM 
To: DL-GA-all_enron_houston_employees 
Cc: 
Subject: FROM CINDY OLSON, COMMUNITY RELATIONS: Discount Tickets to The Nutcracker




Dear Enron Employee: 

Houston Ballet is presenting The Nutcracker through Sunday, December 30.  The production has been hailed by the Houston chronicle as ""the crown jewel of holiday entertainment,"" and is a perfect introduction to the world of ballet for families and audiences of all ages.  Enron has been a long-time supporter of the Ballet, and we would like to thank you with a special invitation from Houston Ballet and TicketMaster for discount tickets to The Nutcracker.

Click on the following links below to receive a 25% discount on tickets to any of the selected performances of The Nutcracker.

To place your order, click on the link below to choose your day and time.  When requesting your tickets, you may choose from best available seats or a specific section, however, all ticket prices may not be available.  Ticketmaster service and handling charges will apply to your order.

Your company code is: NUT1. 

Happy Holidays and enjoy Houston Ballet. 

Performance Dates and Times: 

Wednesday, December 26 at 7:30pm 
<https://ticketing.ticketmaster.com/cgi/purchasePage.asp?event_id=C003345C3DE86FB&event_code=EHL1226> 

Thursday, December 27 at 7:30pm 
<https://ticketing.ticketmaster.com/cgi/purchasePage.asp?event_id=C003345D10FB243&event_code=EHL1227> 

Saturday, December 29 at 2:00pm 
<https://ticketing.ticketmaster.com/cgi/purchasePage.asp?event_id=C003345CDB2A7A1&event_code=EHL1229M> 

Sunday, December 30 at 2:00pm 
<https://ticketing.ticketmaster.com/cgi/purchasePage.asp?event_id=C003345CDDBA7F9&event_code=EHL1230M>"	NOT SENSITIVE	
175	"Tana-

Please place Jane McBride on your distribution list as she will be 
permanently based in Tokyo dealing with the EOL matters.

Thanks,

John



	Tana Jones@ECT
	09/18/2000 05:19 PM
		 
		 To: Alan Aronowitz/HOU/ECT@ECT, Jeffrey T Hodge/HOU/ECT@ECT, Stacy E 
Dickson/HOU/ECT@ECT, Leslie Hansen/HOU/ECT@ECT, Harry M Collins/HOU/ECT@ECT, 
David Minns/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Marie Heard/Enron 
Communications@Enron Communications, Robbi Rossi/Enron Communications@Enron 
Communications, John Viverito/Corp/Enron@Enron
		 cc: 
		 Subject: EOL Credit Responses 09/18/00


----- Forwarded by Tana Jones/HOU/ECT on 09/18/2000 05:19 PM -----

	Bradley Diebner
	09/18/2000 05:18 PM
		 
		 To: Frank L Davis/HOU/ECT@ECT, Karen Lambert/HOU/ECT@ECT, Tana 
Jones/HOU/ECT@ECT, Samuel Schott/HOU/ECT@ECT, Sheri Thomas/HOU/ECT@ECT, Mark 
Taylor/HOU/ECT@ECT, Bernice Rodriguez/HOU/ECT@ECT, Brant Reves/HOU/ECT@ECT, 
Debbie R Brackett/HOU/ECT@ECT, David Hardy/LON/ECT@ECT, Lesli 
Campbell/HOU/ECT@ECT, Molly Harris/HOU/ECT@ECT, Cynthia 
Clark/Corp/Enron@ENRON, Mary G Gosnell/HOU/ECT@ECT, Enron Europe Global 
Contracts and Facilities, Enron Europe Global CounterParty, Stephanie 
Sever/HOU/ECT@ECT, Bradley Diebner/HOU/ECT@ECT, Stacey 
Richardson/HOU/ECT@ECT, Tom Moran/HOU/ECT@ECT, Adnan Patel/Corp/Enron@ENRON, 
Claudia Clark/HOU/ECT@ECT
		 cc: 
		 Subject: EOL Credit Responses 09/18/00

The EOL approvals for 09/18/00 are attached below.




Regards,
bd"	SENSITIVE	This message contains personal and business-sensitive details such as full names, email addresses, and professional affiliations, which should not be publicly disclosed.
176	"---------------------- Forwarded by Christopher Watts/NA/Enron on 12/11/2000 
07:43 AM ---------------------------


MarketNotice@friedwire.com on 12/11/2000 07:02:15 AM
To: christopher.watts@enron.com
cc:  

Subject: Market Notice Report for NRC (12/11 05:57)



BEAVER VALLEY 2 (Region 1) at 50 percent power. Unit operating mode:
Power Operation - UNUSUAL EVENT DECLARED - TS REQUIRED SHUTDOWN BECAUSE
RCS LEAKAGE EXCEEDS LIMITS (SEE #37585).

FITZPATRICK 1 (Region 1) at 50 percent power. Unit operating mode: Power
Operation - REDUCED POWER FOR FEED PUMP MAINTENANCE.

GINNA 1 (Region 1) at 100 percent power.

SALEM 1 (Region 1) at 64 percent power. Unit operating mode: Power
Operation - INCREASING POWER FOLLOWING REACTOR TRIP - SEE EVENT #37579.

SUSQUEHANNA 1 (Region 1) at 97 percent power. Unit operating mode: Power
Operation - INCREASING POWER.

VOGTLE 1 (Region 2) at 87 percent power. Unit operating mode: Power
Operation - INCREASING POWER FOLLOWING REACTOR TRIP - SEE EVENT # 37583.

BYRON 2 (Region 3) at 100 percent power.

MONTICELLO 1 (Region 3) at 100 percent power.

PERRY 1 (Region 3) at 95 percent power. Unit operating mode: Power
Operation - COASTDOWN TO REFUELING OUTAGE.

QUAD CITIES 1 (Region 3) at 100 percent power.

ARKANSAS NUCLEAR 2 (Region 4) at 18 percent power. Unit operating mode:
Power Operation - HOLDING FOR TURBINE WORK.

COOPER 1 (Region 4) at 100 percent power.

PALO VERDE 1 (Region 4) at 99 percent power.

****************************************************************

For more information logon to the FriedWire Traffic Report at:
www.friedwire.com/TrafficReport/login/fwlogin.jsp

To cancel your subscription to Market Notices from this market source,
reply to this message with the following text in the subject:
UNSUBSCRIBE=20332202"	SENSITIVE	This text contains information about the power operations and statuses of various nuclear power plants, which could be considered sensitive due to the potential security and safety implications. Additionally, it includes a link to a specific website for more information, which could lead to unintended privacy risks or security concerns.
177	"Group,

From now on do not sell the generator's schedules real time for all day or 
for a good portion of the day  like we used to because the ISO has been 
cutting our exports at NOB in conjunction with our gen schedules.

Per Chris Foster, if we decide to sell any of the gen schedules real time we 
only do it for a couple of hours at a time. That way when we see that the ISO 
cuts the exports we can immediately cut the gen schedule.  This is the way I 
was told to proceed in these cases in the future. 

If you have any questions ask Chris or Bill

thanks,
Monika"	SENSITIVE	This text contains proprietary business information about generator schedules, ISO exports, and instructions on how to handle these schedules in response to ISO cuts. It also mentions specific individuals (Chris and Bill) who are involved in these operations, which could be considered sensitive business information.
178	"better get used to it.  its our world, you're just renting space and paying bills.

 -----Original Message-----
From: 	Arnold, John  
Sent:	Wednesday, October 17, 2001 4:06 PM
To:	Slone, Jeanie
Subject:	RE: 

me, me, me....you girls are all the same

 -----Original Message-----
From: 	Slone, Jeanie  
Sent:	Tuesday, October 16, 2001 4:58 PM
To:	Arnold, John
Subject:	

hey stupid-it is almost yr-end.  please do your mid-year reviews or i'm never going to squeeze limes for you again.

  i can't believe i've been reduced to pathetic begging and empty threats.  you're killing me."	SENSITIVE	This email exchange contains unprofessional language and negative comments about colleagues, which could lead to privacy risks and reputational damage if disclosed publicly.
179	"I found a Green Team meeting notice and there is a meeting  on Dec 1 at the 
same time as the Oversight Board meeting -- maybe the two orgs have been 
merged.  The agenda is:
1.  management report
2,  fulfillment of AB 970
3.  state consumer services agency report on energy savings in state buildings"	NOT SENSITIVE	
180	"not to be inconsiderate, but we did get him a gift last year and it seemed 
like nobody was really that interested in doing it.  we think it's dangerous 
to start buying birthday presents for some people and not others and the 
group thinks it's best if we dont start the trend.  we definitely want to do 
something for boss's day every year, but we think it's best to keep the 
birthdays simple."	NOT SENSITIVE	
181	"Dear Rod

Please find attached an amended programme - the programme for Tuesday 11
July needs to be discussed with Keith Harris - I hope that is ok?

I hope you enjoy your visit to Wessex Water

Marilyn Smith






**********************************************************************
This email and any files transmitted with it are confidential and
intended solely for the use of the individual or entity to whom they
are addressed. If you have received this email in error please notify
the Wessex Water IT Support Centre on:

44-1225-732088 or email support@wessexwater.co.uk

This footnote also confirms that this email message has been swept by
MIMEsweeper for the presence of computer viruses.

www.mimesweeper.com
**********************************************************************

 - Draft Programme for Rod Hayslett.doc"	SENSITIVE	This email contains a confidential disclaimer, indicating that the content is intended solely for the recipient. It also includes contact information for the IT Support Centre, which should not be publicly disclosed.
182	"I took a stab at drafting the memo.  I pooped out on the last question, 
however and was only able to jot down some thoughts.  Caution:  The memo 
ain't been proofed.  I did it as a memo to the CEO of Timberland, but we 
don't need to do it that way.  Also attaching files (one each for each of the 
scenarios asked for, so that folks could see what I did).  Have not 
constructed the ""one-page attachment, however.  Let me know what you think.

Best,
Jeff





	""Mark Guinney"" <Mark_Guinney@watsonwyatt.com>
	02/18/2001 02:31 PM
		 
		 To: ""Jeff.Dasovich@enron.com"" <Jeff.Dasovich@enron.com>
		 cc: ""asama@yahoo.com"" <asama@yahoo.com>, ""cvavrek@deloitte.com"" 
<cvavrek@deloitte.com>, ""Jeff_Dasovich@enron.com"" <Jeff_Dasovich@enron.com>
		 Subject: Answers


I jotted down my answers to the questions.  Feel free to use as needed.  I 
need
to get things off my plate for the next few days while I work on some other
homework problems.  Of course, I will still help out if anyone needs any
assistance.



**********************************************
Mark D. Guinney, CFA
Consultant
Watson Wyatt Investment Consulting
345 California Street, Ste. 1400
San Francisco, CA  94104
(415) 733-4487 ph.
(415) 733-4190 fax
 - Timberland Questions.doc"	SENSITIVE	The email contains personal and professional information, including the sender's full name, job title, company name, work address, phone number, and fax number, all of which can lead to privacy risks and potential misuse. Additionally, the email mentions attaching files related to Timberland, which could contain proprietary business information.
183	"I've been keeping track of this with Tracy Ngo, our credit gal, and the last 
thing I heard on it this morning was that it's still pending credit. Tracy is 
in a meeting right now, but I'll grab her as soon as she gets out (she sits 
next to me) and find out what the status is. Unfortunately, Tracy said when a 
deal is ""pending credit approval"" it's a little vague as to when the decision 
will be made. Mike Swerzbin told her last night that he wasn't concerned 
about whether or not the deal was approved, so without the trader on credit's 
case, I think sometimes deals get lost in the shuffle. But I'll keep on top 
of it and let you know this afternoon.

Thanks,
Kate




Evelyn Metoyer@ENRON
03/13/2001 11:22 AM
To: Kate Symes/PDX/ECT@ECT
cc:  

Subject: Re: Missing deal?
  

Hi Kate, what's the status of this deal?



   Kate Symes @ ECT                03/12/2001 10:57 AM

To: Evelyn Metoyer/Corp/Enron@ENRON
cc:  

Subject: Re: Missing deal?
  

this deal is contingent on credit - he'll let me know later today whether or 
not it's a good trade.

thanks,
Kate



Evelyn Metoyer@ENRON
03/12/2001 09:00 AM
To: Kate Symes/PDX/ECT@ECT
cc:  

Subject: Re: Missing deal?
  

sorry Friday, 3/9



   Kate Symes @ ECT                03/12/2001 10:52 AM

To: Evelyn Metoyer/Corp/Enron@ENRON
cc:  

Subject: Re: Missing deal?
  

what was the trade date on this?



Evelyn Metoyer@ENRON
03/12/2001 08:58 AM
To: Kate Symes/PDX/ECT@ECT
cc:  

Subject: Missing deal?



Prebon sent over a confirm for a deal where:
Enron (Mike Swerzbin) buys from PPL Montana Cal'04-Cal'06 25 mw of Mid-C at 
$45.00 off-peak hours.

They did not tell me about this deal during checkout.  Can you please check 
with Mike.

Thanks!!"	SENSITIVE	This email contains business-sensitive information about a pending credit approval, a trade deal, and specific details about the deal, including the companies involved, the amount of power, and the price.
184	"THIS MESSAGE IS FROM THE SECRETARY OF THE BOARD OF TRUSTEES, ARTIS G.
HAMPSHIRE-COWAN, ESQ:

> President Swygert asked that I forward the attached correspondence to your
> attention.  The correspondence, which identifies some of the many signs of
> success at Howard University, is forwarded for your information.
>
>  <<howardite_ltr.doc>>

 - howardite_ltr.doc"	NOT SENSITIVE	
185	"Bill:  Thanks for the info.   I also spoke with Jeff about how 
EnronCredit.com Ltd. was going to work since Dennis O'Connell (London lawyer) 
is responsible for that group.  Maybe you will be able to clarify which of 
Jeff's ""positions"" will be hedges and which will be backed to EnronCredit.  
Maybe Rod will be handling most of Jeff's credit.  I'd appreciate an update.  
Sara



	William S Bradford
	08/29/2000 07:24 AM
		
		 To: Sara Shackleton/HOU/ECT@ECT
		 cc: Mark Taylor/HOU/ECT@ECT, Paul Radous/Corp/Enron@ENRON, Rod 
Nelson/LON/ECT@ECT
		 Subject: Re: Credit Derivatives

Sara,

Please contact either Paul Radous or me on credit derivatives in the U.S.  
Rod Nelson is the lead credit support for EnronCredit.com and should also be 
available in London, if necessary.  I am not aware of these recent trades but 
I am having lunch with Jeff Kinneman on Thursday to discuss among other 
things Credit support for his business.  

It does concern me that we would offer to provide collateral DLJ without 
Treasury's approval.

Bill






From: Sara Shackleton on 08/28/2000 06:53 PM
To: William S Bradford/HOU/ECT@ECT
cc: Mark Taylor/HOU/ECT@ECT 
Subject: Credit Derivatives

I am seeing more and more credit derivatives.  The trades originating in 
Houston are coming from Jeff Kinneman's bond/debt traders but are booked in 
the name of ECT Investments, Inc. or ENA.  I can't be certain if these are 
backed to EnronCredit.com Limited.  

In particular, there is a proposed total return bond trade with DLJ 
International Capital requiring ECT Investments to post collateral.  We have 
no master with this party.  Who in Houston credit  is looking at credit 
derivatives?

FYI, other credit deals seem to be transacted wtih Deutsche Bank and UBS AG."	SENSITIVE	The text contains information about credit derivatives, specific trades, and the involvement of various individuals and companies. This information could be considered proprietary business information and should not be publicly disclosed.
186	"Our natural gas business continues to benefit from effective account management and resource allocation focused on identifying and responding to the needs of our varied customers.  In order to keep our organization optimally structured and to facilitate additional growth, we are making the following changes:

Producer/Wellhead Group 
The current mid-market, origination and wellhead pricing activity currently within the Central and Eastern Gas Regions will be consolidated with the Derivatives group under Fred Lagrasta.  This will create a single business unit focused upon the needs of the producing industry within the Eastern U.S.  The producer focus in the Western U.S. and Texas will remain unchanged reporting  to Mark Whitt and Brian Redmond respectively.

Strategic Asset  Development
Laura Luce will move from her role in the Central Region to lead an effort focused strictly on identifying and entering into long-term strategic arrangements within the Central and Eastern Regions.  This initiative will focus on a limited number of selected markets that provide strategic opportunities for partnering in asset development, asset management and optimization.  This effort will continue to work very closely with the regional leads.

Central Origination and Mid-Market
Frank Vickers will continue his current role in the Eastern Region and will assume the leadership role for Mid-Market and Origination activity in the Central Region. 
 

There will be no changes to the West and Texas Origination groups headed respectively by Barry Tycholiz and Brian Redmond. 

Please join us in congratulating Fred, Laura and Frank in their new roles.

Louise & John"	SENSITIVE	This text contains proprietary business information, including details about organizational restructuring, changes in leadership roles, and strategic business activities. These details are sensitive and should not be publicly disclosed.
187	"See below....





Audrey Robertson
11/13/2000 09:50 AM
To: Kevin Hyatt/ET&S/Enron@Enron, Jeffery Fawcett/ET&S/Enron, Lorraine 
Lindberg/ET&S/Enron@ENRON, Michelle Lokay/ET&S/Enron@Enron, Christine 
Stokes/ET&S/Enron@ENRON, TK Lohman/ET&S/Enron@ENRON
cc:  

Subject: URGENT REQUEST FROM STEVE

Please see below a customer list.  Please provide Steve with the names of  
contacts, i.e., Nanci McKenzie for USGT, Frank Tsuru for Red Cedar, etc.

  SoCal Gas    /Lee Stewart - Sr. VP
  PG&E
  USGT   Nanci McKenzie - President
  Red Cedar  Frank Tsuru - President
  PNM
  Burlington Resources Scott Kirk - Vice President
  Amoco
  Duke
  Agave   David Lanning - President
  Texaco
  Conoco   Mike Stice - President

Please submit as soon as possible.

Thanks in advance,

adr"	SENSITIVE	This email contains a customer list with names of contacts and their respective positions within the companies, which is proprietary business information that should not be publicly disclosed.
188	"Tony,
	The address is 3 Allen Center Office 1604A
 -----Original Message-----
From: 	Ochsner, Preston  
Sent:	Tuesday, October 02, 2001 5:52 PM
To:	Marquez, Tony
Cc:	Stokley, Chris
Subject:	Guadalupe

Tony,

Chris will be helping us implement Guadalupe. Please set it up on his machine at your earliest convenience.

He's in 3 Allen Center. Office 1603

Thanks, 
Preston Ochsner
Commodity Risk Management
Enron Wholesale Services
713-345-3341"	SENSITIVE	This email contains explicit sensitive information such as office addresses, names, and contact numbers, which could lead to privacy risks and potential misuse.
189	"Deal needs to go to Skilling (or OOC) because capital price exceeds return. 
Otherwise Frevert could sign. I am authorised to sign for Jeff up to $25 MM 
after I leave him a voice mail. After I review deal I will voice mail Jeff 
and that should work. Rick"	SENSITIVE	This text contains sensitive proprietary business information, including discussions about deal authorization, signing authority, and specific financial thresholds, which should not be publicly disclosed.
190	"Please be advised that, through the distribution of this email, Global Finance is adding the following language to the Roseville FASH dated May 9, 2001:

Add at the end of item 2: Investment terms and pricing;  Financing terms and pricing:

As indicated in the DASH, the $44.6MM represents the total amount requested for expenditures on project soft costs, as defined by accounting.  None of these dollars may be expended for hard costs, as defined by accounting, thereby preserving the ability to finance the power plant off balance sheet.  Any additional project expenditures (including commitments) which may be requested through another DASH (for turbine payments as mentioned in this DASH or any new amounts) must be incurred by a financing vehicle/structure which will allow this power project to be financed off Enron's balance sheet.



Lisa Bills"	SENSITIVE	This email contains proprietary business information related to investment terms, pricing, project expenditures, and financing structures, which should not be publicly disclosed.
191	"David:
How's S.P.?  Wanted to ask you a question regarding your town house.  Have 
you sold it or are you renting it out, b/c we might be interested in renting 
it from you if you have not done so already.  Let me know what you think.  
Talk to you soon.  Thanks
Ben"	NOT SENSITIVE	
192	"Today we announced the appointment of Jeff McMahon as Enron's chief financial officer.  In my continued discussions with the financial community yesterday and today, it became clear that this move was required to restore investor confidence.  Jeff has unparalleled qualifications and a deep and thorough understanding of Enron.  He is already on the job and hard at work on the issues before us.  Andy Fastow will be on a leave of absence from the company.  

Jeff had been serving as chairman and CEO of Enron Industrial Markets. He joined Enron in 1994 and spent three years in the London office as chief financial officer for Enron's European operations.  Upon returning to the U.S., Jeff was executive vice president of finance and treasurer for Enron Corp.  In 2000, he was named president and chief operating officer of Enron Net Works.

I know all of you are concerned about the continuing decline in our share price.  I am too, and we are working very hard to turn it around.  Appointing Jeff as CFO is one important step in that process.  But most of the solution involves just continuing to do our jobs with excellence.  The fundamentals of our business are strong, and I think the market will begin to see that as we continue to perform.

Please join me in giving Jeff your full support, and thank you for all of your continued hard work."	SENSITIVE	This text contains sensitive information related to professional roles and business operations, including the appointment of Jeff McMahon as Enron's chief financial officer, details of his previous roles and responsibilities within the company, and the impact of his appointment on investor confidence and the company's share price. This information could potentially lead to unintended inferences or privacy risks.
193	"Spoke with Joe Deffner concerning on the delivery points - he mentioned that 
we should assume the same four delivery points as in the prior Mahonia 
transaction:

1. Transcontintal Gas Pipeline, Zone 3 (Station 65)
2. Texas Gas Transmission, Zone SL
3. Columbia Gulf Transmission, Louisiana Onshore
4.Texas Eastern Transmission Company, Eastern Louisiana

Let me know - thanks again.

Mike

---------------------- Forwarded by Michael Garberding/HOU/ECT on 12/14/2000 
09:22 AM ---------------------------


joedeffner@pagenetips.com on 12/14/2000 09:25:00 AM
To: Michael.Garberding@enron.com
cc:  
Subject: re[2]: re[2]: Stoneville


For now. Sandra and delapina will have to determine those at the time but 
assume them as placeholders for now."	NOT SENSITIVE	
194	"HTTP/1.1 200
Server: Netscape-Enterprise/3.6 SP2
Date: Thu, 12 Apr 2001 09:41:08 GMT
Content-type: text/x-oasis-csv
Connection: close

REQUEST_STATUS=200
ERROR_MESSAGE=
TIME_STAMP=20010412044108PD
VERSION=1.4
TEMPLATE=transstatus
OUTPUT_FORMAT=DATA
PRIMARY_PROVIDER_CODE=SPP
PRIMARY_PROVIDER_DUNS=959415852
RETURN_TZ=PD
DATA_ROWS=1
COLUMN_HEADERS=CONTINUATION_FLAG,ASSIGNMENT_REF,SELLER_CODE,SELLER_DUNS,CUSTOM
ER_CODE,CUSTOMER_DUNS,AFFILIATE_FLAG,PATH_NAME,POINT_OF_RECEIPT,POINT_OF_DELIV
ERY,SOURCE,SINK,CAPACITY_REQUESTED,CAPACITY_GRANTED,SERVICE_INCREMENT,TS_CLASS
,TS_TYPE,TS_PERIOD,TS_WINDOW,TS_SUBCLASS,NERC_CURTAILMENT_PRIORITY,OTHER_CURTA
ILMENT_PRIORITY,START_TIME,STOP_TIME,CEILING_PRICE,OFFER_PRICE,BID_PRICE,PRICE
_UNITS,PRECONFIRMED,ANC_SVC_LINK,ANC_SVC_REQ,POSTING_REF,SALE_REF,REQUEST_REF,
DEAL_REF,IMPACTED,COMPETING_REQUEST_FLAG,REQ
UEST_TYPE,RELATED_REF,NEGOTIATED_PRICE_FLAG,STATUS,STATUS_NOTIFICATION,STATUS_
COMMENTS,TIME_QUEUED,RESPONSE_TIME_LIMIT,TIME_OF_LAST_UPDATE,PRIMARY_PROVIDER_
COMMENTS,SELLER_REF,SELLER_COMMENTS,CUSTOMER_COMMENTS,SELLER_NAME,SELLER_PHONE
,SELLER_FAX,SELLER_EMAIL,CUSTOMER_NAME,CUSTOMER_PHONE,CUSTOMER_FAX,CUSTOMER_EM
AIL,REASSIGNED_REF,REASSIGNED_CAPACITY,REASSIGNED_START_TIME,REASSIGNED_STOP_T
IME
N,SPP 
01007388,SPP,959415852,EPMI,848921276,N,CONTROL/HILLTOP,SVR55,HIL345,""CISO"",""P
ACE"",12,12,HOURLY,NON-FIRM,POINT_TO_POINT,OFF_PEAK,FIXED,W/O ANCILLARY 
SRVCS,1,,20010412050000PD,20010412060000PD,3.9000,3.9000,3.9000,MW-HR,Y,SC:(SP
P:RQ);,SC:M;,,,,,0,N,ORIGINAL,,,QUEUED,MAILTO:mark.guzman@enron.com;,,20010412
024019PD,20010412031000PD,20010412024019PD,,,,,Carolyn 
Bonari,(775)834-4180,(775)834-4296,sppc.oasis@sppc.com,Don 
Norman,,(503)464-3740,lester.rawson@enron.com,,,,"	SENSITIVE	This message contains a variety of sensitive information, including personal names, phone numbers, email addresses, and business details. Additionally, it includes proprietary business information related to energy trading and capacity allocation, which should not be publicly disclosed.
195	"Hi Pete,

Here's some language to be included in the form contract.

Thanks,

Kay
---------------------- Forwarded by Kay Mann/Corp/Enron on 02/15/2001 03:01 
PM ---------------------------
From: Scott Dieball@ENRON_DEVELOPMENT on 02/15/2001 02:42 PM
To: Sheila Tweed/HOU/ECT@ECT, Kay Mann/Corp/Enron@Enron
cc:  

Subject: GE

Attached is the latest markup on the warranty language which GE is now 
reviewing.  I also have a few comments from John Rigby which may be worth 
adding but I suggest we hold off until we discuss the warranty language with 
GE next week.

I also spoke to Steve Swift who indicated that he would Email to Sheila what 
has been agreed to on indemnity, LOL, ect. and what we intend to insert into 
the Arcos contract.  FYI I do not intend to use the ""end world hunger"" 
warranty language in the Arcos contract as I want GE back-to-back on what we 
have signed up to with the owner under the EPC contract.

Regards,

Scott"	SENSITIVE	This message contains proprietary business information, legal information, and professional roles, which could lead to unintended inferences or privacy risks.
196	"Please use Ameren Services Company only for transmission.  Thank you.

Please note the following changes:
Ameren Services Company (ASC)
Assigned its sales agreement to:
Ameren Energy, Inc. as agent (ASC)
(for and on behalf of Union Electric Company d/b/a Ameren UE, Ameren Energy 
Marketing Company, and Ameren Energy Generating Company)
Transmission remains with Ameren Services Company"	NOT SENSITIVE	
197	"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 
12:07 PM ---------------------------
   
	
	
	From:  Cindy Cicchetti                           09/26/2000 09:23 AM
	

To: Phillip K Allen/HOU/ECT@ECT, Hunter S Shively/HOU/ECT@ECT, Scott 
Mills/HOU/ECT@ECT, Allan Severude/HOU/ECT@ECT, Russ Severson/HOU/ECT@ECT, 
Fletcher J Sturm/HOU/ECT@ECT, Scott Neal/HOU/ECT@ECT
cc:  
Subject: Gas Physical/Financial Position

I have scheduled and entered on each of your calendars a meeting for the 
above referenced topic.  It will take place on Thursday, 9/28 from 3:00 - 
4:00 in Room EB2537."	SENSITIVE	This email contains professional roles and a scheduled meeting, which suggests access to confidential information and business operations.
198	"I think Gary Bryan already sent you a list that had this info.  Let me know if you did not get it.

Tom

 -----Original Message-----
From: 	Curry, Mike  
Sent:	Thursday, January 31, 2002 10:52 AM
To:	Martin, Thomas A.
Subject:	FW: ERCOT Counterparties

Tom,  Here are power's top trading counterparties.  Let me know if gas has others.  I want to make sure our marketing group gets all the master agreements in place that we need in Texas for gas and power as fast as possible.  - Mike

 -----Original Message-----
From: 	King, Jeff  
Sent:	Thursday, January 31, 2002 10:06 AM
To:	Portz, David
Cc:	Gilbert-smith, Doug; Curry, Mike; Schiavone, Paul
Subject:	ERCOT Counterparties

David,  

Doug asked me to get you a list of our top counterparties in ERCOT.  Below is our list:

Calpine
Dynegy
Mirant
Aquila
Constellation
El Paso
TXU
Reliant
ANP Marketing
FP&L
BP Amoco
LCRA
Morgan Stanley

Call me if you have questions.

Thanks
Jeff King (x37111)"	SENSITIVE	The email contains business-sensitive information, including a list of top trading counterparties, which could be considered proprietary business information.
